Variable,Region,Lag (months),Mean_Value
DFMC_Foliage,MED,0,-0.498803848125
DFMC_Foliage,MED,-1,-0.64911253621875
DFMC_Foliage,MED,-2,-0.4894269385833333
DFMC_Foliage,MED,-3,-0.2266890966708333
DFMC_Foliage,MED,-4,-0.0766450887916666
DFMC_Foliage,MED,-5,0.0679460533791666
DFMC_Foliage,MED,-6,-0.0249062083083333
DFMC_Foliage,MED,-7,0.096307197975
DFMC_Foliage,MED,-8,-0.0986869227041666
DFMC_Foliage,MED,-9,0.1912368335125
DFMC_Foliage,MED,-10,0.4246800548375
DFMC_Foliage,MED,-11,0.7331585987375
DFMC_Foliage,MED,-12,0.4689104287458333
DFMC_Foliage,MED,-13,0.2298195257083333
DFMC_Foliage,MED,-14,0.27478434485
DFMC_Foliage,MED,-15,0.6360849986999999
DFMC_Foliage,MED,-16,0.977687275975
DFMC_Foliage,MED,-17,1.0857360204166666
DFMC_Foliage,MED,-18,0.7666122119000001
DFMC_Foliage,MED,-19,0.503659699325
DFMC_Foliage,MED,-20,0.2015705413458333
DFMC_Foliage,MED,-21,0.1565945165375
DFMC_Foliage,MED,-22,0.2738206584625
DFMC_Foliage,MED,-23,0.2538817010208333
DFMC_Foliage,MED,-24,0.1521565999375
DFMC_Foliage,MED,-25,-0.0233922016874999
DFMC_Foliage,MED,-26,-0.0175880442041667
DFMC_Foliage,MED,-27,-0.0730675372208333
DFMC_Foliage,MED,-28,0.1249337325583333
DFMC_Foliage,MED,-29,0.1905345760375
DFMC_Foliage,MED,-30,0.2711738344166667
VPD_VPD,MED,0,1.5340164174
VPD_VPD,MED,-1,0.958265818075
VPD_VPD,MED,-2,0.6885161851375
VPD_VPD,MED,-3,0.0998080682458333
VPD_VPD,MED,-4,-0.0904670735166666
VPD_VPD,MED,-5,-0.0908899265958333
VPD_VPD,MED,-6,0.1446328222749999
VPD_VPD,MED,-7,0.1283583852416666
VPD_VPD,MED,-8,-0.1448190349499999
VPD_VPD,MED,-9,-0.1635774903708333
VPD_VPD,MED,-10,-0.0677716651625
VPD_VPD,MED,-11,-0.1503708303958332
VPD_VPD,MED,-12,-0.3686390613583333
VPD_VPD,MED,-13,-0.5053858449333334
VPD_VPD,MED,-14,-0.1788962311041666
VPD_VPD,MED,-15,-0.330047864375
VPD_VPD,MED,-16,-0.494167382325
VPD_VPD,MED,-17,-0.6990058338166666
VPD_VPD,MED,-18,-0.5735751414458333
VPD_VPD,MED,-19,-0.5384582644041667
VPD_VPD,MED,-20,-0.5657375358458334
VPD_VPD,MED,-21,-0.3337406595583333
VPD_VPD,MED,-22,-0.1693395355874999
VPD_VPD,MED,-23,0.0621131900708333
VPD_VPD,MED,-24,-0.1296817368375
VPD_VPD,MED,-25,0.0318708042625
VPD_VPD,MED,-26,0.0237948309541666
VPD_VPD,MED,-27,-0.0333701215333333
VPD_VPD,MED,-28,-0.1000246222166666
VPD_VPD,MED,-29,-0.0762677522333333
VPD_VPD,MED,-30,0.2131874236708333
VPD_VPD,FOR,0,0.4899193448222221
VPD_VPD,FOR,-1,0.5517874727611111
VPD_VPD,FOR,-2,0.5687213716629631
VPD_VPD,FOR,-3,0.6625605520592592
VPD_VPD,FOR,-4,0.6534220722592594
VPD_VPD,FOR,-5,0.5441186592111111
VPD_VPD,FOR,-6,0.283566859174074
VPD_VPD,FOR,-7,0.125159018937037
VPD_VPD,FOR,-8,-0.004728239674074
VPD_VPD,FOR,-9,0.398804003162963
VPD_VPD,FOR,-10,0.6514259583777778
VPD_VPD,FOR,-11,0.814224094862963
VPD_VPD,FOR,-12,0.4106746102888889
VPD_VPD,FOR,-13,0.1555674868851851
VPD_VPD,FOR,-14,0.0404812608074074
VPD_VPD,FOR,-15,-0.0053130504555555
VPD_VPD,FOR,-16,-0.061906938774074
VPD_VPD,FOR,-17,-0.0803583117888889
VPD_VPD,FOR,-18,-0.0313937124
VPD_VPD,FOR,-19,-0.0517874734962963
VPD_VPD,FOR,-20,0.0849633616222222
VPD_VPD,FOR,-21,0.152865475111111
VPD_VPD,FOR,-22,0.0907070479740741
VPD_VPD,FOR,-23,-0.0416700419814814
VPD_VPD,FOR,-24,-0.1411152598407407
VPD_VPD,FOR,-25,-0.1420241727
VPD_VPD,FOR,-26,-0.2315567720185186
VPD_VPD,FOR,-27,-0.2767652140111112
VPD_VPD,FOR,-28,-0.2657522097925925
VPD_VPD,FOR,-29,-0.3008252100703704
VPD_VPD,FOR,-30,-0.3436768574222222
SM1_SM1,DES,0,-0.0986157557
SM1_SM1,DES,-1,-0.0550475936
SM1_SM1,DES,-2,-0.1028207998666666
SM1_SM1,DES,-3,-0.3440294890333333
SM1_SM1,DES,-4,-0.1792649613333333
SM1_SM1,DES,-5,-0.1335399719
SM1_SM1,DES,-6,-0.1152463348333333
SM1_SM1,DES,-7,-1.2249749335666666
SM1_SM1,DES,-8,-2.165760956166667
SM1_SM1,DES,-9,-2.389718166133333
SM1_SM1,DES,-10,-1.405597839133333
SM1_SM1,DES,-11,-0.4783479402333333
SM1_SM1,DES,-12,-0.0243136681
SM1_SM1,DES,-13,0.0170223300333333
SM1_SM1,DES,-14,0.4440295567999999
SM1_SM1,DES,-15,0.9607402063
SM1_SM1,DES,-16,1.7121316188666664
SM1_SM1,DES,-17,1.821917925533333
SM1_SM1,DES,-18,1.320909958
SM1_SM1,DES,-19,0.7458083344333333
SM1_SM1,DES,-20,0.8459308244
SM1_SM1,DES,-21,1.207446592
SM1_SM1,DES,-22,1.6111226669333334
SM1_SM1,DES,-23,0.9949330285666668
SM1_SM1,DES,-24,0.6414996345
SM1_SM1,DES,-25,-0.0203402843666666
SM1_SM1,DES,-26,-0.0259691923666666
SM1_SM1,DES,-27,0.1653270418333333
SM1_SM1,DES,-28,0.5666683065
SM1_SM1,DES,-29,0.501799003
SM1_SM1,DES,-30,0.549957996
DFMC_Foliage,ALL,0,-0.3563827501166667
DFMC_Foliage,ALL,-1,-0.4089120217500001
DFMC_Foliage,ALL,-2,-0.4425675594703703
DFMC_Foliage,ALL,-3,-0.4052876108074074
DFMC_Foliage,ALL,-4,-0.3640264147074074
DFMC_Foliage,ALL,-5,-0.1690436712407407
DFMC_Foliage,ALL,-6,-0.0774419462481481
DFMC_Foliage,ALL,-7,0.0700575785462963
DFMC_Foliage,ALL,-8,0.0054469066277777
DFMC_Foliage,ALL,-9,-0.0066140534907407
