Category,Variable,Region,Lag (months),Lagged Correlation,p-value,p_value
LFMC,LFMC,North American Deserts,0,-0.0875698661049116,0.1559522994117637,
LFMC,LFMC,North American Deserts,1,-0.0220161590361572,0.7223015655679452,
LFMC,LFMC,North American Deserts,2,-0.0294650950436893,0.6349602780425044,
LFMC,LFMC,North American Deserts,3,0.0071240069923934,0.9088090391960176,
LFMC,LFMC,North American Deserts,4,0.0173482311413345,0.7807015376520723,
LFMC,LFMC,North American Deserts,5,0.0310496543054682,0.6189071384246079,
LFMC,LFMC,North American Deserts,6,0.0568375684654754,0.3632188570234637,
LFMC,LFMC,North American Deserts,7,0.0672259580580942,0.2829681048536322,
LFMC,LFMC,North American Deserts,8,0.1037823300526436,0.0975461641317107,
LFMC,LFMC,North American Deserts,9,0.0155547996757758,0.804765182309904,
LFMC,LFMC,North American Deserts,10,0.0383155720973148,0.5432796643203647,
LFMC,LFMC,North American Deserts,11,0.065169966402421,0.3018114191013378,
LFMC,LFMC,North American Deserts,12,0.0409054540355423,0.5180228076054985,
LFMC,LFMC,North American Deserts,13,0.0379533295389869,0.5495009310956924,
LFMC,LFMC,North American Deserts,14,0.0439038064609033,0.4895438514086246,
LFMC,LFMC,North American Deserts,15,0.092164788184998,0.147028920786042,
LFMC,LFMC,North American Deserts,16,0.0861995716967386,0.1760128002124306,
LFMC,LFMC,North American Deserts,17,0.085611922137244,0.1798764953084941,
LFMC,LFMC,North American Deserts,18,0.2254345324581891,0.000365555104889,
LFMC,LFMC,North American Deserts,19,0.2136949301911888,0.0007606707465262,
LFMC,LFMC,North American Deserts,20,0.1819626697066197,0.0043500241617719,
LFMC,LFMC,North American Deserts,21,0.1144864776260702,0.0748590636503143,
LFMC,LFMC,North American Deserts,22,0.0540782314955582,0.4023019187048561,
LFMC,LFMC,North American Deserts,23,0.0262302390178663,0.6853632628507298,
LFMC,LFMC,North American Deserts,24,0.0630158509696348,0.3309972807277916,
LFMC,LFMC,North American Deserts,25,0.0627755704792377,0.3338679679817058,
LFMC,LFMC,North American Deserts,26,0.0520148528666273,0.4244283108808186,
LFMC,LFMC,North American Deserts,27,0.0442740494610202,0.4975692010284794,
LFMC,LFMC,North American Deserts,28,0.0368471746086813,0.5732695339648408,
LFMC,LFMC,North American Deserts,29,0.073291908236012,0.2631152222800851,
LFMC,LFMC,North American Deserts,30,0.1103568577041319,0.0921346444224171,
LFMC,LFMC,Mediterranean California,0,-0.2063621363212438,0.0007422973640196,
LFMC,LFMC,Mediterranean California,1,-0.1129542749938651,0.0674082187340342,
LFMC,LFMC,Mediterranean California,2,-0.0596751663352139,0.3359661585792173,
LFMC,LFMC,Mediterranean California,3,-0.0601264840275106,0.333251008678625,
LFMC,LFMC,Mediterranean California,4,-0.0654691068484171,0.2929372986305489,
LFMC,LFMC,Mediterranean California,5,-0.0586934749725447,0.3467948151811687,
LFMC,LFMC,Mediterranean California,6,-0.1066906714359433,0.0872160814690484,
LFMC,LFMC,Mediterranean California,7,-0.1438515179621753,0.0210612563588387,
LFMC,LFMC,Mediterranean California,8,-0.0328014133669031,0.6013954549091695,
LFMC,LFMC,Mediterranean California,9,0.0003922533580361,0.9950268099817852,
LFMC,LFMC,Mediterranean California,10,-0.0502820256047394,0.4249193439860921,
LFMC,LFMC,Mediterranean California,11,-0.0688239068930613,0.2754560045301304,
LFMC,LFMC,Mediterranean California,12,0.0019534135245204,0.9753849076355476,
LFMC,LFMC,Mediterranean California,13,0.069104154809334,0.275424618320303,
LFMC,LFMC,Mediterranean California,14,0.0934674794796716,0.1405698764921188,
LFMC,LFMC,Mediterranean California,15,0.0736152351340847,0.2471274222788675,
LFMC,LFMC,Mediterranean California,16,0.0669605416572912,0.2935583279990074,
LFMC,LFMC,Mediterranean California,17,0.059648114112067,0.3505515759707688,
LFMC,LFMC,Mediterranean California,18,0.121665057846976,0.0567011151942206,
LFMC,LFMC,Mediterranean California,19,0.1263845482215277,0.0481496858969295,
LFMC,LFMC,Mediterranean California,20,0.0697553581238202,0.2777707063593992,
LFMC,LFMC,Mediterranean California,21,0.014425593908952,0.822971372398576,
LFMC,LFMC,Mediterranean California,22,-0.0500071759973683,0.4387026034802117,
