NAME,LON1,LON2,LAT1,LAT2,YYYY_START,MM_END,YYYY_START,MM_END
AUGUSTCOMPLEX,-123.6,-122.3,39.3,40.5,2020,08,2020,11
LNUNCOMPLEX,-123.7,-121.7,38.1,39.0,2020,08,2020,10
SCUCOMPLEX,-121.9,-121.1,37.0,37.7,2020,08,2020,10
DIXIE,-121.7,-120.1,39.6,40.8,2021,07,2021,10
MEDOCINO,-123.1,-122.4,38.9,39.6,2018,07,2019,01
PARK,-122.2,-121.4,39.7,40.4,2024,07,2024,09
CREEK,-119.5,-118.9,36.9,37.7,2020,09,2020,12
NORTHCOMPLEX,-121.5,-120.7,39.5,40.0,2020,08,2020,12
THOMAS,-119.7,-118.8,34.1,34.7,2017,12,2018,01
RIM,-120.3,-119.5,37.7,38.1,2013,08,2013,08
PALISADES,-118.8,-118.4,34.0,34.2,2025,01,2025,01
EATON,-118.2,-118.0,34.1,34.3,2025,01,2025,01
RUSH,-120.4,-119.7,40.2,50.0,2012,08,2012,08
CARR,-122.9,-122.1,40.2,41.2,2018,07,2018,08
MONUMENT,-123.6,-123.0,40.45,40.95,2021,07,2021,10
CALDOR,-120.7,-119.9,38.5,38.9,2021,08,2021,10
ROUGH,-119.2,-118.6,36.7,37.1,2015,07,2015,11
CAMP,-121.85,-121.25,39.55,39.95,2018,11,2018,11
