Category,Variable,Fire,Months_Before_Fire,Mean_Value
LAI,LAI,PALISADES,0,0.1673181481
LAI,LAI,PALISADES,-1,0.36293394965
LAI,LAI,PALISADES,-2,0.6217591809
LAI,LAI,PALISADES,-3,0.8509755347666667
LAI,LAI,PALISADES,-4,1.0476309997666666
LAI,LAI,PALISADES,-5,1.0118324775999998
LAI,LAI,PALISADES,-6,1.1879723855666666
LAI,LAI,PALISADES,-7,1.3979439798333333
LAI,LAI,PALISADES,-8,1.3615847600000002
LAI,LAI,PALISADES,-9,1.1867103764666669
LAI,LAI,PALISADES,-10,0.8018503373
LAI,LAI,PALISADES,-11,0.4740795111333333
LAI,LAI,PALISADES,-12,0.3817946577666666
LAI,LAI,PALISADES,-13,0.4939394562666666
LAI,LAI,PALISADES,-14,0.8536243477
LAI,LAI,PALISADES,-15,1.3689019519
LAI,LAI,PALISADES,-16,1.5855474298333334
LAI,LAI,PALISADES,-17,1.6595261208666667
LAI,LAI,PALISADES,-18,1.3846032431666666
LAI,LAI,PALISADES,-19,1.2552385241333337
LAI,LAI,PALISADES,-20,0.7019125765333333
LAI,LAI,PALISADES,-21,1.0270961083333334
LAI,LAI,PALISADES,-22,0.7861367423666668
LAI,LAI,PALISADES,-23,1.3410428378333334
LAI,LAI,PALISADES,-24,0.6038010377666668
LAI,LAI,PALISADES,-25,0.4593343939333335
LAI,LAI,PALISADES,-26,-0.0792604978333331
LAI,LAI,PALISADES,-27,-0.2462886299333332
LAI,LAI,PALISADES,-28,-0.3393187365999998
LAI,LAI,PALISADES,-29,-0.2692912940333332
LAI,LAI,PALISADES,-30,-0.3568075810666665
LAI,LAI,EATON,0,-0.1323619847
LAI,LAI,EATON,-1,0.3046361374999999
LAI,LAI,EATON,-2,0.2592577906
LAI,LAI,EATON,-3,0.0592504611
LAI,LAI,EATON,-4,-0.2254925871666666
LAI,LAI,EATON,-5,-0.4682125895666667
LAI,LAI,EATON,-6,-0.4406319265333334
LAI,LAI,EATON,-7,-0.383671381
LAI,LAI,EATON,-8,-0.5676382495666666
LAI,LAI,EATON,-9,-0.3452114085
LAI,LAI,EATON,-10,-0.1514306159333333
LAI,LAI,EATON,-11,-0.0371934458333333
LAI,LAI,EATON,-12,-0.1175792090666666
LAI,LAI,EATON,-13,-0.1816239047
LAI,LAI,EATON,-14,0.0644204539666666
LAI,LAI,EATON,-15,0.2543729320333333
LAI,LAI,EATON,-16,0.2863676505666666
LAI,LAI,EATON,-17,0.1312059752333333
LAI,LAI,EATON,-18,-0.2579912639333333
LAI,LAI,EATON,-19,-0.8557564919999999
LAI,LAI,EATON,-20,-1.1771182968333334
LAI,LAI,EATON,-21,-1.4732158783333336
LAI,LAI,EATON,-22,-1.9606054059
LAI,LAI,EATON,-23,-2.0749398311
LAI,LAI,EATON,-24,-2.055064424633333
LAI,LAI,EATON,-25,-1.3976597151
LAI,LAI,EATON,-26,-1.0645256221333332
LAI,LAI,EATON,-27,-1.2701140683333332
LAI,LAI,EATON,-28,-1.5092378422666666
LAI,LAI,EATON,-29,-1.6591190075666666
LAI,LAI,EATON,-30,-1.5612008016666667
EVI,EVI,PALISADES,0,0.0369023023
EVI,EVI,PALISADES,-1,0.1516335343
EVI,EVI,PALISADES,-2,0.2614647075333333
EVI,EVI,PALISADES,-3,0.6253143213
EVI,EVI,PALISADES,-4,1.0701667665333334
EVI,EVI,PALISADES,-5,1.3868685005333334
EVI,EVI,PALISADES,-6,1.5428098344666663
EVI,EVI,PALISADES,-7,1.4136467143999998
EVI,EVI,PALISADES,-8,1.6434027769999997
EVI,EVI,PALISADES,-9,1.6541343107333333
EVI,EVI,PALISADES,-10,1.7520139975666666
EVI,EVI,PALISADES,-11,1.6796672617333333
EVI,EVI,PALISADES,-12,1.2745316154
EVI,EVI,PALISADES,-13,1.010799112033333
EVI,EVI,PALISADES,-14,0.8256396588999998
EVI,EVI,PALISADES,-15,1.321072049833333
EVI,EVI,PALISADES,-16,1.6443038208666667
EVI,EVI,PALISADES,-17,1.5748525742999997
EVI,EVI,PALISADES,-18,1.4964617576666666
EVI,EVI,PALISADES,-19,1.3842564857
EVI,EVI,PALISADES,-20,1.5057860431
EVI,EVI,PALISADES,-21,1.3409051391
EVI,EVI,PALISADES,-22,1.0874992058999997
EVI,EVI,PALISADES,-23,0.6925180202333331
EVI,EVI,PALISADES,-24,0.6357927527999998
EVI,EVI,PALISADES,-25,0.3694381105666665
EVI,EVI,PALISADES,-26,0.1336480912666665
EVI,EVI,PALISADES,-27,-0.2557142253000001
EVI,EVI,PALISADES,-28,-0.2309304568666668
EVI,EVI,PALISADES,-29,-0.1734458828333334
EVI,EVI,PALISADES,-30,-0.2000418631333335
EVI,EVI,EATON,0,0.3800805182
EVI,EVI,EATON,-1,0.01492566565
EVI,EVI,EATON,-2,-0.0708426281333333
EVI,EVI,EATON,-3,-0.0016049103
EVI,EVI,EATON,-4,0.2878264986999999
EVI,EVI,EATON,-5,0.6212513308
EVI,EVI,EATON,-6,0.6546523460333332
EVI,EVI,EATON,-7,1.0513861685666666
EVI,EVI,EATON,-8,1.2450138741666663
EVI,EVI,EATON,-9,1.2453537375
EVI,EVI,EATON,-10,1.0566351692333331
EVI,EVI,EATON,-11,1.2955024636
EVI,EVI,EATON,-12,1.4657362416333335
EVI,EVI,EATON,-13,1.2902157003333332
EVI,EVI,EATON,-14,0.9636258979
EVI,EVI,EATON,-15,1.0647352459
EVI,EVI,EATON,-16,1.6652926746666663
EVI,EVI,EATON,-17,1.4520850636
EVI,EVI,EATON,-18,1.0062976302
EVI,EVI,EATON,-19,0.5502576523
EVI,EVI,EATON,-20,0.4815674920666666
EVI,EVI,EATON,-21,0.192192727
EVI,EVI,EATON,-22,-0.9709518413333332
EVI,EVI,EATON,-23,-1.408903536233333
EVI,EVI,EATON,-24,-1.1176595227
EVI,EVI,EATON,-25,-0.5165734176
EVI,EVI,EATON,-26,-0.2211943998999999
EVI,EVI,EATON,-27,-0.3721314919
EVI,EVI,EATON,-28,-0.361539084
EVI,EVI,EATON,-29,-0.6247066082
EVI,EVI,EATON,-30,-0.8359128017666667
DFMC,Foliage,PALISADES,0,-1.3723210187
DFMC,Foliage,PALISADES,-1,-1.05200567645
DFMC,Foliage,PALISADES,-2,-1.2813705531333333
DFMC,Foliage,PALISADES,-3,-1.4087885522666668
DFMC,Foliage,PALISADES,-4,-1.3555690378666665
DFMC,Foliage,PALISADES,-5,-0.7705183269333333
DFMC,Foliage,PALISADES,-6,-0.2192871720333333
DFMC,Foliage,PALISADES,-7,0.0023994534666666
DFMC,Foliage,PALISADES,-8,-0.5484791923666666
DFMC,Foliage,PALISADES,-9,0.3182912745000001
DFMC,Foliage,PALISADES,-10,0.6689327972333334
DFMC,Foliage,PALISADES,-11,1.5474057341333334
DFMC,Foliage,PALISADES,-12,0.7708822743999999
DFMC,Foliage,PALISADES,-13,0.5010360437666667
DFMC,Foliage,PALISADES,-14,0.4130231539666666
DFMC,Foliage,PALISADES,-15,0.3322892130333332
DFMC,Foliage,PALISADES,-16,0.8028004649666665
DFMC,Foliage,PALISADES,-17,1.4505801170333334
DFMC,Foliage,PALISADES,-18,1.5700505439333332
DFMC,Foliage,PALISADES,-19,1.070330950066667
DFMC,Foliage,PALISADES,-20,0.0642710384333333
DFMC,Foliage,PALISADES,-21,0.1903559500999999
DFMC,Foliage,PALISADES,-22,0.7365412337
DFMC,Foliage,PALISADES,-23,1.1597861115333332
DFMC,Foliage,PALISADES,-24,0.9423639101666668
DFMC,Foliage,PALISADES,-25,0.4680468078333333
DFMC,Foliage,PALISADES,-26,0.3266220314333333
DFMC,Foliage,PALISADES,-27,-0.4429084381666666
DFMC,Foliage,PALISADES,-28,-0.0901341834333333
DFMC,Foliage,PALISADES,-29,-0.2969551157333333
